order_id,customer_id,product,category,size,price,quantity,rating,purchase_date,total_amount
ORD0073,CUST1606,Jacket,Clothing,S,481.87,2,4.4,2023-05-25,963.74
ORD0025,CUST1026,Shampoo,Beauty,L,919.52,9,2.1,2023-02-18,8275.68
ORD0052,CUST1943,T-Shirt,Clothing,S,110.5,8,2.3,2023-04-13,884.0
ORD0171,CUST1977,Lamp,Home & Garden,Unknown,1337.26,8,2.5,2023-12-07,10698.08
ORD0099,CUST1672,Tablet,Electronics,S,1354.32,9,3.0,2023-07-16,12188.88
ORD0041,CUST1152,Tablet,Electronics,M,653.61,3,2.0,2023-03-22,1960.83
ORD0128,CUST1304,Cookbook,Books,XL,218.77,6,3.6,2023-09-12,1312.62
ORD0086,CUST1087,Curtains,Home & Garden,Unknown,1127.17,5,4.7,2023-06-20,5635.85
ORD0174,CUST1523,Shampoo,Beauty,Unknown,115.33,9,3.1,2023-12-13,1037.97
ORD0103,CUST1241,Headphones,Electronics,M,1343.81,6,2.2,2023-07-24,8062.86
ORD0166,CUST1808,Helmet,Sports,XL,339.28,2,4.5,2023-11-27,678.56
ORD0098,CUST1659,Running Shoes,Sports,XL,159.17,3,3.1,2023-07-14,477.51
ORD0118,CUST1165,Lamp,Home & Garden,M,1188.41,5,3.5,2023-08-23,5942.05
ORD0180,CUST1146,Laptop,Electronics,S,790.47,6,1.1,2023-12-25,4742.82
ORD0120,CUST1089,Lamp,Home & Garden,S,141.35,1,3.3,2023-08-27,141.35
ORD0090,CUST1888,Helmet,Sports,XL,561.17,1,1.6,2023-06-28,561.17
ORD0196,CUST1722,Cookbook,Books,Unknown,1461.72,3,3.2,2024-01-26,4385.16
ORD0093,CUST1462,Jeans,Clothing,Unknown,1396.48,5,1.0,2023-07-04,6982.4
ORD0054,CUST1830,Laptop,Electronics,XS,44.63,2,1.5,2023-04-17,89.26
ORD0200,CUST1311,Perfume,Beauty,XS,467.74,8,2.1,2024-02-03,3741.92
ORD0010,CUST1523,Running Shoes,Sports,Unknown,42.9,2,3.9,2023-01-19,85.8
