Region,Category,order_count,total_revenue,avg_order_value
Central,Beauty,181,263041.76,1453.27
Central,Furniture,174,232343.76,1335.31
Central,Electronics,164,229159.33,1397.31
Central,Clothing,171,221076.52,1292.85
Central,Grocery,150,211748.54,1411.66
Central,Sports,153,202523.83,1323.69
Central,Books,135,188347.55,1395.17
East,Books,171,244661.67,1430.77
East,Furniture,172,231969.39,1348.66
East,Beauty,168,231943.04,1380.61
East,Grocery,158,231113.32,1462.74
East,Clothing,154,223421.9,1450.79
East,Sports,157,215564.58,1373.02
East,Electronics,141,209919.82,1488.79
North,Electronics,176,252360.35,1433.87
North,Sports,156,220661.89,1414.5
North,Beauty,146,214284.56,1467.7
North,Clothing,157,209795.81,1336.28
North,Grocery,142,201813.95,1421.22
North,Books,141,201392.78,1428.32
North,Furniture,145,196939.21,1358.2
South,Sports,171,259179.96,1515.67
South,Electronics,173,238148.7,1376.58
South,Furniture,156,229119.44,1468.71
South,Grocery,162,228469.87,1410.31
South,Clothing,133,200075.05,1504.32
South,Books,135,189993.0,1407.36
South,Beauty,143,189405.25,1324.51
West,Electronics,165,224964.09,1363.42
West,Beauty,151,215196.83,1425.14
West,Grocery,138,211955.1,1535.91
West,Furniture,144,205412.61,1426.48
West,Sports,145,195712.42,1349.74
West,Books,152,195415.51,1285.63
West,Clothing,149,193725.68,1300.17
