Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Price,Quantity,Discount,total_amount
ORD-1001,2023-01-21,2023-01-23,First Class,CUST-0075,Customer 88,Consumer,South,Texas,Houston,Technology,Copiers,Copiers Model 971,475.6,8.0,0.0,3804.8
ORD-1002,2024-02-18,2024-02-24,Same Day,CUST-0021,Customer 58,Corporate,East,New York,New York City,Technology,Machines,Machines Model 847,32.92,8.0,0.3,263.36
ORD-1003,2024-07-20,2024-07-24,Standard Class,CUST-0131,Customer 51,Home Office,East,Florida,Miami,Furniture,Chairs,Chairs Model 940,264.76,3.0,0.3,794.28
ORD-1004,2023-12-12,2023-12-17,Same Day,CUST-0092,Customer 111,Home Office,South,New York,New York City,Technology,Machines,Machines Model 608,474.7,2.0,0.1,949.4
ORD-1005,2024-01-23,2024-01-25,Second Class,CUST-0054,Customer 106,Corporate,East,Pennsylvania,Philadelphia,Technology,Accessories,Accessories Model 802,455.11,4.0,0.1,1820.44
ORD-1006,2023-09-28,2023-10-04,Same Day,CUST-0040,Customer 82,Home Office,East,Ohio,Columbus,Office Supplies,Paper,Paper Model 891,227.63,4.0,0.0,910.52
ORD-1007,2023-01-15,2023-01-20,Standard Class,CUST-0071,Customer 9,Consumer,South,California,Los Angeles,Office Supplies,Binders,Binders Model 747,144.06,9.0,0.0,1296.54
ORD-1008,2024-02-23,2024-02-24,Standard Class,CUST-0041,Customer 28,Home Office,East,Texas,Houston,Technology,Accessories,Accessories Model 939,103.43,8.0,0.2,827.44
ORD-1009,2023-04-09,2023-04-13,Second Class,CUST-0035,Customer 101,Home Office,West,Florida,Miami,Office Supplies,Binders,Binders Model 742,36.46,7.0,0.0,255.22
ORD-1010,2024-01-28,2024-01-30,Same Day,CUST-0063,Customer 96,Home Office,East,New York,New York City,Furniture,Chairs,Chairs Model 663,282.83,7.0,0.2,1979.81
ORD-1011,2024-10-16,2024-10-19,Same Day,CUST-0013,Customer 71,Home Office,Central,Illinois,Chicago,Furniture,Furnishings,Furnishings Model 185,349.28,5.0,0.0,1746.4
ORD-1012,2024-10-07,2024-10-11,Same Day,CUST-0044,Customer 84,Corporate,West,Washington,Seattle,Office Supplies,Paper,Paper Model 430,405.02,9.0,0.0,3645.18
ORD-1013,2024-01-12,2024-01-15,Standard Class,CUST-0116,Customer 3,Home Office,West,Pennsylvania,Philadelphia,Office Supplies,Art,Art Model 555,181.37,1.0,0.0,181.37
