order_id,customer_id,order_date,status,region_code,customer_id_missing_flag
1,207,2025-05-06 00:08:47,SHIPPED,NORTH,False
2,213,2026-01-17 13:03:02,DELIVERED,NORTH,False
3,,2024-10-09 03:07:59,CANCELLED,WEST,True
4,93,2026-03-29 11:25:19,DELIVERED,NORTH,False
5,237,2025-07-21 18:27:36,SHIPPED,WEST,False
6,179,2026-06-10 00:00:00,SHIPPED,EAST,False
7,119,2024-10-13 18:53:59,CANCELLED,NORTH,False
8,175,2025-04-13 06:40:54,DELIVERED,CENTRAL,False
9,96,2025-05-17 10:10:49,SHIPPED,WEST,False
10,468,2025-02-28 03:20:09,DELIVERED,WEST,False
11,171,2024-10-27 19:31:37,DELIVERED,SOUTH,False
12,495,2026-04-16 03:17:58,DELIVERED,CENTRAL,False
13,368,2025-11-18 00:00:00,DELIVERED,SOUTH,False
14,500,2024-10-27 17:18:25,DELIVERED,NORTH,False
15,322,2024-08-10 14:24:39,DELIVERED,CENTRAL,False
16,230,2026-01-03 06:48:13,DELIVERED,CENTRAL,False
17,255,2025-08-10 07:49:13,DELIVERED,WEST,False
18,572,2026-06-24 21:14:19,PLACED,SOUTH,False
19,481,2026-05-24 16:01:45,SHIPPED,WEST,False
20,339,2025-03-05 00:00:00,SHIPPED,WEST,False
21,241,2024-10-01 05:30:31,CANCELLED,WEST,False
22,511,2025-07-14 05:57:13,RETURNED,NORTH,False
23,423,2024-08-28 19:57:20,PLACED,NORTH,False
24,312,2026-06-23 08:52:11,SHIPPED,WEST,False
25,373,2026-05-04 00:00:00,SHIPPED,WEST,False
26,485,2026-02-08 15:28:28,DELIVERED,NORTH,False
27,228,2024-08-02 16:57:14,CANCELLED,EAST,False
28,383,2026-01-28 08:01:08,CANCELLED,WEST,False
29,420,2024-10-23 01:54:25,SHIPPED,NORTH,False
30,403,2025-01-15 10:52:46,DELIVERED,EAST,False
31,425,2024-09-06 02:49:46,CANCELLED,CENTRAL,False
32,462,2025-07-22 06:19:40,RETURNED,SOUTH,False
33,5,2025-09-16 22:42:28,DELIVERED,WEST,False
34,495,2026-07-19 23:31:19,RETURNED,SOUTH,False
35,178,2026-02-19 09:24:26,PLACED,CENTRAL,False
36,330,2025-08-27 13:17:37,DELIVERED,CENTRAL,False
37,255,2025-03-01 12:11:48,DELIVERED,EAST,False
38,137,2024-11-16 07:51:43,DELIVERED,CENTRAL,False
39,561,2026-05-31 12:45:05,DELIVERED,CENTRAL,False
40,206,2025-01-10 21:19:40,SHIPPED,EAST,False
41,136,2026-02-03 18:44:58,RETURNED,CENTRAL,False
42,331,2026-02-03 17:56:04,DELIVERED,WEST,False
43,428,2026-01-06 16:48:34,CANCELLED,EAST,False
44,433,2026-04-20 00:00:00,PLACED,WEST,False
45,58,2025-01-03 06:27:04,DELIVERED,EAST,False
46,150,2026-05-14 00:00:00,DELIVERED,SOUTH,False
