item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,54,3,988.94,2.28
2,2,148,4,594.23,94.53
3,3,148,5,539.19,16.87
4,3,3,2,268.33,11.54
5,3,6,2,166.96,8.46
6,4,57,3,156.87,0.41
7,4,96,1,296.53,3.9
8,5,6,1,111.11,10.65
9,5,32,4,37.03,6.3
10,5,148,4,348.8,53.11
11,5,62,1,957.21,0.85
12,6,16,4,639.02,34.33
13,6,35,5,171.69,8.04
14,6,77,1,167.48,14.41
15,7,146,5,360.33,33.39
16,7,63,4,52.79,5.84
17,7,54,1,934.34,16.41
18,7,91,4,266.09,15.8
19,8,26,2,93.66,0.85
20,9,131,2,485.26,10.89
21,9,62,4,737.16,4.99
22,10,134,3,139.26,13.66
23,10,22,1,386.4,19.18
24,11,53,3,219.64,97.53
25,11,86,1,449.34,0.02
26,11,138,2,520.17,41.97
27,12,35,3,167.02,11.58
28,12,131,2,633.21,11.5
29,12,27,4,374.19,17.21
30,12,68,5,288.56,0.07
31,13,45,3,718.22,15.31
32,13,130,3,218.88,16.62
33,14,138,1,732.34,0.43
34,14,117,5,957.63,15.78
35,14,35,3,202.07,0.7
36,15,54,5,849.61,8.86
37,15,129,5,245.27,40.47
38,15,134,4,114.05,23.25
39,16,4,1,366.96,10.25
40,17,6,3,136.91,3.95
41,17,48,2,1026.3,8.5
42,17,140,3,550.22,26.85
43,17,33,1,548.84,13.79
44,18,26,3,132.04,55.08
45,18,145,5,289.5,1.98
46,18,56,2,506.73,95.21
47,19,143,4,684.11,11.49
48,20,47,4,910.15,3.71
49,20,46,-2,697.44,53.36
50,21,14,1,588.81,47.49
51,21,10,4,57.93,1.12
52,21,50,1,120.76,15.85
53,21,79,4,20.36,36.04
54,21,98,5,817.89,46.48
55,22,81,3,317.86,0.25
56,22,8,2,721.04,75.26
57,22,16,4,621.72,20.42
58,22,25,5,47.92,17.69
59,22,127,4,172.11,80.43
60,23,81,4,186.21,80.77
61,23,72,4,679.99,6.13
62,23,105,2,1084.87,5.86
63,24,48,4,579.55,4.29
64,24,93,1,662.15,18.73
65,25,150,4,691.8,3.61
66,26,6,2,203.8,1.58
67,26,54,3,971.81,97.07
68,26,47,3,903.14,10.8
69,26,108,1,275.48,66.74
70,26,91,5,268.24,3.41
71,27,139,3,246.76,17.58
72,27,104,4,588.36,19.98
73,27,74,5,96.03,5.18
74,27,138,2,725.1,19.53
75,28,29,5,309.15,0.87
76,28,147,5,176.41,18.85
77,28,9,5,212.72,16.67
78,28,126,2,555.65,43.7
79,28,75,1,163.14,57.41
80,29,106,1,73.89,3.99
81,29,82,2,837.08,6.58
82,29,71,2,294.1,54.85
83,29,111,3,523.47,9.07
84,29,48,5,573.98,11.43
85,30,24,1,270.16,1.85
86,30,32,2,50.69,49.45
87,30,65,5,40.75,11.54
88,30,31,5,59.67,79.52
89,30,104,5,1007.47,18.86
90,31,109,1,1025.64,19.45
91,31,123,2,11.69,9.68
