order_id,customer_id,order_date,status,region_code
1,207,2025-05-06 00:08:47,SHIPPED,NORTH
2,213,2026-01-17 13:03:02,DELIVERED,NORTH
3,,2024-10-09 03:07:59,CANCELLED,WEST
4,93,2026-03-29 11:25:19,DELIVERED,NORTH
5,237,2025-07-21 18:27:36,SHIPPED,WEST
6,179,10-06-2026,SHIPPED,EAST
7,119,2024-10-13 18:53:59,CANCELLED,NORTH
8,175,2025-04-13 06:40:54,DELIVERED,CENTRAL
9,96,2025-05-17 10:10:49,SHIPPED,WEST
10,468,2025-02-28 03:20:09,DELIVERED,WEST
11,171,2024-10-27 19:31:37,DELIVERED,SOUTH
12,495,2026-04-16 03:17:58,DELIVERED,CENTRAL
13,368,18-11-2025,DELIVERED,SOUTH
14,500,2024-10-27 17:18:25,DELIVERED,NORTH
15,322,2024-08-10 14:24:39,DELIVERED,CENTRAL
16,230,2026-01-03 06:48:13,DELIVERED,CENTRAL
17,255,2025-08-10 07:49:13,DELIVERED,WEST
18,572,2026-06-24 21:14:19,PLACED,SOUTH
19,481,2026-05-24 16:01:45,SHIPPED,WEST
20,339,05-03-2025,SHIPPED,WEST
21,241,2024-10-01 05:30:31,CANCELLED,WEST
22,511,2025-07-14 05:57:13,RETURNED,NORTH
23,423,2024-08-28 19:57:20,PLACED,NORTH
24,312,2026-06-23 08:52:11,SHIPPED,WEST
25,373,04-05-2026,SHIPPED,WEST
26,485,2026-02-08 15:28:28,DELIVERED,NORTH
27,228,2024-08-02 16:57:14,CANCELLED,EAST
28,383,2026-01-28 08:01:08,CANCELLED,WEST
29,420,2024-10-23 01:54:25,SHIPPED,NORTH
30,403,2025-01-15 10:52:46,DELIVERED,EAST
31,425,2024-09-06 02:49:46,CANCELLED,CENTRAL
32,462,2025-07-22 06:19:40,RETURNED,SOUTH
33,5,2025-09-16 22:42:28,DELIVERED,WEST
34,495,2026-07-19 23:31:19,RETURNED,SOUTH
35,178,2026-02-19 09:24:26,PLACED,CENTRAL
36,330,2025-08-27 13:17:37,DELIVERED,CENTRAL
37,255,2025-03-01 12:11:48,DELIVERED,EAST
38,137,2024-11-16 07:51:43,DELIVERED,CENTRAL
39,561,2026-05-31 12:45:05,DELIVERED,CENTRAL
40,206,2025-01-10 21:19:40,SHIPPED,EAST
41,136,2026-02-03 18:44:58,RETURNED,CENTRAL
42,331,2026-02-03 17:56:04,DELIVERED,WEST
43,428,2026-01-06 16:48:34,CANCELLED,EAST
44,433,20-04-2026,PLACED,WEST
45,58,2025-01-03 06:27:04,DELIVERED,EAST
46,150,14-05-2026,DELIVERED,SOUTH
47,34,2025-05-06 14:19:30,PLACED,CENTRAL
48,575,2025-05-30 01:22:22,DELIVERED,EAST
49,49,2026-07-21 14:55:43,DELIVERED,EAST
50,56,2024-08-11 01:41:22,SHIPPED,WEST
51,377,2026-03-10 12:13:40,DELIVERED,SOUTH
