order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_date,order_status
ORD002565,CUST00243,PROD0025,4,4203.28,2025-04-19,,Cancelled
ORD004275,CUST00324,PROD0122,4,993.76,2025-11-27,,Shipped
ORD003045,CUST00032,PROD0116,2,8033.73,2026-07-23,,Shipped
ORD005168,CUST00576,PROD0033,2,5639.02,2026-01-01,,Returned
ORD003986,CUST00012,PROD0131,5,6853.95,2026-03-30,,Processing
ORD004228,CUST00290,PROD0094,4,1211.97,2025-09-01,2025-09-02,Delivered
ORD002495,CUST00354,PROD0086,5,1450.41,2025-03-18,2025-03-30,Delivered
ORD004379,CUST00744,PROD0101,3,782.0,2026-04-21,2026-05-02,Delivered
ORD004964,CUST00758,PROD0007,1,40685.29,2025-02-04,,Processing
ORD004930,CUST00056,PROD0084,2,317.91,2026-06-23,,Processing
ORD000542,CUST00020,PROD0009,1,390.58,2025-04-05,2025-04-15,Delivered
ORD003259,CUST00556,PROD0143,4,1730.89,2025-02-13,2025-02-14,Delivered
ORD000335,CUST00743,PROD0077,3,2052.65,2026-07-30,2026-08-06,Delivered
ORD004110,CUST00373,PROD0021,3,156.01,2025-02-18,2025-02-27,Delivered
ORD005839,CUST00106,PROD0069,3,58378.98,2025-12-09,2025-12-20,Delivered
ORD003310,CUST00356,PROD0048,5,56173.09,2025-05-17,2025-05-20,Delivered
ORD002981,CUST00372,PROD0131,4,6853.95,2026-03-05,,Processing
ORD003459,CUST00126,PROD0020,5,4298.98,2026-04-13,2026-04-23,Delivered
ORD000632,CUST00695,PROD0126,1,8384.51,2025-11-06,,Shipped
ORD000910,CUST00572,PROD0003,3,14338.6,2025-10-16,,Cancelled
ORD002599,CUST00486,PROD0061,2,1083.6,2025-09-09,2025-09-10,Delivered
ORD004322,CUST00617,PROD0143,5,1730.89,2025-07-12,,Shipped
ORD003144,CUST00120,PROD0069,1,58378.98,2026-05-24,2026-05-29,Delivered
ORD005159,CUST00510,PROD0065,1,9361.22,2026-07-12,,Returned
ORD002673,CUST00659,PROD0089,4,16755.29,2025-02-04,,Processing
ORD001482,CUST00246,PROD0099,2,14295.1,2026-07-05,2026-07-17,Delivered
ORD004058,CUST00652,PROD0008,1,545.71,2025-04-18,2025-04-25,Delivered
ORD003508,CUST00766,PROD0150,1,2716.88,2025-03-25,2025-03-29,Delivered
ORD005623,CUST00154,PROD0033,4,5639.02,2025-12-04,,Returned
ORD000586,CUST00564,PROD0118,4,828.66,2025-06-25,2025-06-30,Delivered
ORD000206,CUST00216,PROD0124,3,2908.87,2026-01-30,2026-01-31,Delivered
ORD003418,CUST00570,PROD0085,5,4763.96,2026-01-13,2026-01-17,Delivered
ORD003555,CUST00666,PROD0121,0,751.76,2026-02-24,,Shipped
ORD005811,CUST00266,PROD0120,1,418.7,2026-03-26,2026-04-07,Delivered
ORD004323,CUST00769,PROD0078,4,12507.55,2025-08-02,,Returned
ORD000270,CUST00661,PROD0055,1,70.6,2026-07-19,,Returned
ORD003146,CUST00523,PROD0146,1,9127.13,2025-06-19,,Shipped
ORD002853,CUST00624,PROD0095,4,6063.96,2025-06-24,,Processing
ORD000157,CUST00725,PROD0105,5,32176.55,2025-01-21,,Returned
ORD003791,CUST00329,PROD0026,5,4912.92,2025-11-14,2025-11-15,Delivered
ORD002434,CUST00333,PROD0133,4,1400.65,2026-05-08,2026-05-12,Delivered
ORD005919,CUST00086,PROD0053,1,379.38,2025-01-10,,Returned
ORD001593,CUST00177,PROD0081,4,4820.76,2025-11-12,,Cancelled
ORD003912,CUST00211,PROD0072,3,263.08,2026-04-18,,Cancelled
ORD001984,CUST00237,PROD0115,4,55563.32,2025-12-09,,Returned
ORD003824,CUST00651,PROD0103,1,11738.74,2026-05-07,,Returned
ORD000089,CUST00428,PROD0038,1,8563.39,2025-09-12,,Cancelled
ORD001842,CUST00210,PROD0036,2,559.64,2025-04-15,2025-04-27,Delivered
ORD005273,CUST00404,PROD0025,3,4203.28,2025-12-10,,Shipped
ORD005416,CUST00005,PROD0077,5,2052.65,2026-01-31,2026-02-07,Delivered
ORD003569,CUST00272,PROD0069,3,58378.98,2026-04-16,2026-04-22,Delivered
ORD002006,CUST00248,PROD0009,2,390.58,2025-10-26,,Processing
ORD001172,CUST00321,PROD0009,5,390.58,2026-01-25,,Processing
ORD004819,CUST00189,PROD0057,1,1462.31,2025-05-05,,Cancelled
ORD005185,CUST00184,PROD0087,2,13732.01,2025-11-24,,Shipped
ORD005675,CUST00494,PROD0021,5,156.01,2025-11-30,2025-12-04,Delivered
ORD004453,CUST00332,PROD0139,5,4171.69,2026-04-01,2026-04-02,Delivered
ORD005006,CUST00295,PROD0124,4,2908.87,2026-01-11,2026-01-12,Delivered
ORD001832,CUST00272,PROD0016,2,59834.55,2026-06-21,,Shipped
ORD002918,CUST00531,PROD0119,1,2603.43,2025-07-14,,Returned
ORD001006,CUST00121,PROD0033,5,5639.02,2025-08-16,,Cancelled
ORD004974,CUST00425,PROD0008,3,545.71,2026-04-20,2026-05-01,Delivered
ORD005228,CUST00530,PROD0033,4,5639.02,2026-01-08,2026-01-16,Delivered
ORD000594,CUST00096,PROD0024,1,1123.83,2026-05-07,2026-05-19,Delivered
ORD005008,CUST00666,PROD0087,2,13732.01,2026-04-16,,Shipped
ORD002483,CUST00088,PROD0137,5,1360.59,2026-02-19,,Cancelled
ORD003184,CUST00748,PROD0138,1,3519.99,2026-03-01,2026-03-08,Delivered
