payment_id,order_id,payment_method,amount,payment_status,payment_date
PAY3B738303,ORD002565,Net Banking,16813.12,Refunded,2025-04-19
PAYA4974D10,ORD004275,Debit Card,3975.04,Success,2025-11-27
PAY014D8811,ORD003045,COD,16067.46,Success,2026-07-23
PAY488F03E1,ORD005168,UPI,11278.04,Success,2026-01-01
PAYB3E7696D,ORD003986,Net Banking,34269.75,Success,2026-03-30
PAYC21C8518,ORD004228,Credit Card,4847.88,Success,2025-09-01
PAY48CCB913,ORD002495,COD,7252.05,Success,2025-03-18
PAYD8550BE5,ORD004379,Wallet,2346.0,Success,2026-04-21
PAY8E00DFFA,ORD004964,Wallet,40685.29,Success,2025-02-04
PAY5A2D26A9,ORD004930,Net Banking,635.82,Success,2026-06-23
PAYC4D7CF76,ORD000542,Credit Card,390.58,Success,2025-04-05
PAY7CE2B135,ORD003259,Net Banking,6923.56,Success,2025-02-13
PAYC1ABEDF4,ORD000335,UPI,6157.95,Success,2026-07-30
PAY1E2E23FE,ORD004110,COD,468.03,Success,2025-02-18
PAY72CEA419,ORD005839,Wallet,175136.94,Failed,2025-12-09
PAY71BF0B24,ORD003310,Debit Card,280865.45,Success,2025-05-17
PAYCDD7B74B,ORD002981,Wallet,27415.8,Success,2026-03-05
PAY8100BA5C,ORD003459,COD,21494.9,Success,2026-04-13
PAYC0228F7A,ORD000632,Wallet,8384.51,Success,2025-11-06
PAYF4212C64,ORD000910,COD,43015.8,Refunded,2025-10-16
PAY21AF73A6,ORD002599,Wallet,2167.2,Success,2025-09-09
PAY2649EBCE,ORD004322,COD,8654.45,Success,2025-07-12
PAY008E8C0B,ORD003144,COD,58378.98,Refunded,2026-05-24
PAYB7B657B7,ORD005159,Credit Card,9361.22,Success,2026-07-12
PAY5B14D6CF,ORD002673,UPI,67021.16,Success,2025-02-04
PAYEF106B75,ORD001482,UPI,28590.2,Refunded,2026-07-05
PAY60CA8CA3,ORD004058,Wallet,545.71,Success,2025-04-18
PAY2822FA8D,ORD003508,Credit Card,2716.88,Failed,2025-03-25
PAYAC223041,ORD005623,Debit Card,22556.08,Success,2025-12-04
PAY941210DB,ORD000586,Net Banking,3314.64,Refunded,2025-06-25
PAYD52BD557,ORD000206,COD,8726.61,Success,2026-01-30
PAYEBE97002,ORD003418,Net Banking,23819.8,Refunded,2026-01-13
PAY9D861D36,ORD003555,Net Banking,0.0,Success,2026-02-24
PAYBDF4CD65,ORD005811,Debit Card,418.7,Failed,2026-03-26
PAYDFBB26D5,ORD004323,UPI,50030.2,Failed,2025-08-02
PAY50F043DE,ORD000270,Net Banking,70.6,Success,2026-07-19
PAYDE5B4292,ORD003146,Wallet,9127.13,Refunded,2025-06-19
PAYBE412ADF,ORD002853,UPI,24255.84,Success,2025-06-24
PAY8FF00B66,ORD000157,Debit Card,160882.75,Success,2025-01-21
PAY0884C30E,ORD003791,Net Banking,24564.6,Success,2025-11-14
PAY182CCCEC,ORD002434,Net Banking,5602.6,Failed,2026-05-08
PAYF29AB1E5,ORD005919,Debit Card,379.38,Success,2025-01-10
PAY688E9042,ORD001593,Debit Card,19283.04,Refunded,2025-11-12
PAY58B252EB,ORD003912,Credit Card,789.24,Refunded,2026-04-18
PAYB992EBBA,ORD001984,Net Banking,222253.28,Success,2025-12-09
PAYD85578C9,ORD003824,Debit Card,11738.74,Failed,2026-05-07
PAY2004BCA6,ORD000089,Net Banking,8563.39,Refunded,2025-09-12
PAYC68A58D6,ORD001842,Debit Card,1119.28,Success,2025-04-15
PAYB6BFA2F1,ORD005273,COD,12609.84,Success,2025-12-10
PAY5FB68FAD,ORD005416,Debit Card,10263.25,Success,2026-01-31
PAY6E2BDCA9,ORD003569,COD,175136.94,Success,2026-04-16
PAYE64AA065,ORD002006,Debit Card,781.16,Failed,2025-10-26
PAY1128F370,ORD001172,UPI,1952.9,Success,2026-01-25
PAY4F0407DD,ORD004819,COD,1462.31,Refunded,2025-05-05
PAY2DE69A69,ORD005185,UPI,27464.02,Success,2025-11-24
PAYDB238793,ORD005675,Debit Card,780.05,Success,2025-11-30
PAYCD88240B,ORD004453,Credit Card,20858.45,Success,2026-04-01
PAYB7055929,ORD005006,Debit Card,11635.48,Success,2026-01-11
PAY70202680,ORD001832,Net Banking,119669.1,Success,2026-06-21
PAYB73049A7,ORD002918,Debit Card,2603.43,Refunded,2025-07-14
PAY12A6D6D1,ORD001006,Credit Card,28195.1,Refunded,2025-08-16
PAYA0C3BF4B,ORD004974,UPI,1637.13,Failed,2026-04-20
PAYB3D69F7A,ORD005228,Debit Card,22556.08,Failed,2026-01-08
PAYDA5D2831,ORD000594,Net Banking,1123.83,Success,2026-05-07
PAY95C3218F,ORD005008,UPI,27464.02,Failed,2026-04-16
PAYF1C76F08,ORD002483,COD,6802.95,Refunded,2026-02-19
PAYE836917E,ORD003184,Net Banking,3519.99,Success,2026-03-01
PAY97F67DFC,ORD000645,Credit Card,955.15,Failed,2026-06-23
PAY3484A532,ORD002341,Net Banking,543.32,Success,2025-08-16
PAY2A93F078,ORD001612,Debit Card,2716.6,Success,2025-03-31
PAYF8B79094,ORD000012,Net Banking,12145.28,Failed,2025-12-23
PAYC5DC3255,ORD005261,UPI,160753.75,Success,2025-01-28
PAYFBDFB942,ORD000597,Net Banking,1171.74,Refunded,2026-03-13
PAY2D31DB20,ORD000030,Net Banking,4171.69,Success,2026-03-28
PAYBEB28578,ORD000720,Net Banking,2585.32,Success,2025-01-04
PAY29276452,ORD000138,UPI,3938.46,Success,2025-06-01
PAY36E3FD9C,ORD005696,UPI,20858.45,Failed,2025-06-04
PAY96A3968A,ORD002815,Debit Card,137630.8,Success,2026-07-27
PAYA64B2399,ORD003465,UPI,1681.95,Refunded,2025-05-22
PAYCC819B5F,ORD004009,Credit Card,14795.31,Refunded,2025-08-18
PAY7D11F1D6,ORD000692,UPI,41196.03,Success,2025-03-10
PAYA8177A1B,ORD002142,Wallet,4105.3,Refunded,2025-01-22
PAYFE73E26B,ORD004708,Net Banking,46974.96,Refunded,2026-04-14
PAY2E0834FB,ORD004702,Wallet,55719.21,Success,2025-07-29
PAY4CEE832B,ORD001851,UPI,10867.52,Success,2025-01-08
PAYFE7733AD,ORD003126,UPI,1483.6,Success,2025-08-26
PAY3BBC1AC8,ORD003893,Debit Card,52572.6,Success,2025-10-18
PAY99B2CCA4,ORD003690,Wallet,14418.3,Success,2025-10-14
PAY763E5BE7,ORD004347,COD,1462.31,Refunded,2026-03-13
PAY599EFDA2,ORD002744,COD,3265.28,Refunded,2025-11-21
PAY866EFC8A,ORD004724,COD,277816.6,Refunded,2025-07-22
PAY375F4CC2,ORD003087,Credit Card,96452.25,Failed,2025-12-19
PAY9124D191,ORD000288,Wallet,20561.85,Success,2025-06-21
PAY650ADF8F,ORD002695,UPI,1419.85,Failed,2025-05-20
PAY38FC2810,ORD003966,COD,175136.94,Refunded,2025-06-06
PAY4C264387,ORD003976,Debit Card,7810.29,Success,2026-07-27
PAYFA2436E6,ORD004341,UPI,1739.08,Success,2025-08-19
PAY8A0791D5,ORD004507,COD,11477.1,Success,2026-07-03
PAY383B7F56,ORD002764,UPI,4701.06,Success,2025-10-19
PAYDF24BD4C,ORD004200,Wallet,5833.22,Success,2025-06-11
PAYCB335156,ORD002965,Credit Card,15593.56,Success,2025-11-16
PAYE273EE68,ORD000101,Credit Card,21010.12,Failed,2025-01-27
PAYDA0A4437,ORD003702,UPI,45251.62,Refunded,2025-09-08
PAYC4A98034,ORD001748,Credit Card,9127.13,Success,2025-06-06
PAY37A5F7C6,ORD004006,Credit Card,3161.25,Success,2026-04-14
PAYC547E851,ORD005434,Credit Card,37146.14,Success,2025-09-21
PAY86BB99EB,ORD003000,Wallet,4526.12,Success,2025-06-17
PAY6AE73895,ORD004325,COD,37012.3,Success,2025-09-01
PAY94F1FE1C,ORD001271,Credit Card,19055.84,Success,2026-03-04
PAYD1C886E4,ORD005496,Net Banking,901.03,Success,2026-02-22
PAY01683043,ORD004446,COD,4897.92,Success,2025-11-13
PAY9E780874,ORD000812,Credit Card,11695.17,Refunded,2026-04-11
PAY533B7C2D,ORD001824,Wallet,22207.38,Success,2026-05-03
PAY454BE77B,ORD004134,Credit Card,1952.9,Success,2026-03-30
PAY8944BE24,ORD000378,Wallet,18254.26,Success,2026-07-11
PAYF6B67A46,ORD001855,Wallet,6613.38,Success,2026-04-08
PAY5CDBC842,ORD002552,Net Banking,4763.96,Success,2025-03-13
PAYDA914488,ORD000421,Debit Card,10505.06,Success,2026-04-22
PAYBBE3AA4A,ORD005288,UPI,5795.2,Refunded,2025-12-19
PAY70A959E9,ORD003182,Wallet,37146.14,Success,2025-10-06
PAY1F88615B,ORD001566,Net Banking,65669.36,Success,2025-05-12
PAYF1AAE2EB,ORD000489,Wallet,1511.91,Refunded,2025-05-25
PAYB6D80413,ORD004709,Credit Card,1312.64,Refunded,2025-04-06
PAY8E1B1785,ORD003390,Credit Card,5934.4,Success,2025-08-04
PAYCA08F89A,ORD002287,UPI,2922.45,Success,2026-02-28
PAY0034DCA5,ORD003772,UPI,3898.39,Failed,2026-06-18
PAY3E2FB1DE,ORD005398,Wallet,70.6,Success,2025-07-09
PAY2EAD267C,ORD001381,COD,3502.78,Failed,2026-02-16
PAY3C6A5C11,ORD004985,Debit Card,2743.76,Success,2026-07-26
PAYA37BF3AF,ORD004989,Net Banking,35216.22,Refunded,2026-04-17
PAY378A95E3,ORD002746,Net Banking,2990.7,Refunded,2026-03-05
PAYA896DF57,ORD002201,COD,4704.83,Refunded,2025-01-07
PAY48EAAD0D,ORD002020,Credit Card,400.11,Refunded,2026-04-06
PAY54E383F7,ORD000605,Net Banking,2124.57,Refunded,2025-04-22
PAY3E586B38,ORD002667,COD,7402.46,Success,2025-05-29
PAY9CCE4CA6,ORD001750,COD,314.99,Success,2025-08-19
PAY158CFDE8,ORD002520,UPI,20858.45,Success,2025-07-19
PAYC59DF0A6,ORD002497,Wallet,98504.04,Success,2026-05-13
PAY0EE5B74D,ORD003180,Wallet,162741.16,Success,2025-07-03
PAY4BFF7A4F,ORD004002,Wallet,2803.25,Refunded,2026-02-13
PAYD5EC6226,ORD000248,Credit Card,282.4,Refunded,2025-04-17
PAY995E9A27,ORD005477,Debit Card,6923.56,Refunded,2025-08-30
PAYA8C088EB,ORD003238,Net Banking,119669.1,Refunded,2026-03-06
PAYF803D7A7,ORD000162,COD,1210.56,Success,2025-03-07
PAY6E434F93,ORD001592,Net Banking,12127.92,Success,2025-11-10
PAY6D26CFC1,ORD004831,Net Banking,1155.96,Success,2026-07-25
PAY26F5C918,ORD005618,Debit Card,2743.76,Success,2025-11-08
PAY7A867E53,ORD000502,UPI,2167.2,Success,2025-03-21
PAYA0B1B1BE,ORD004389,COD,302.64,Success,2025-04-29
PAY40188E8E,ORD002672,Credit Card,277816.6,Refunded,2026-04-06
PAY4D024A79,ORD005594,Credit Card,8817.84,Success,2025-04-30
PAY74DE0195,ORD000976,Wallet,57180.4,Failed,2025-03-24
PAY0B0E6325,ORD005694,Debit Card,119669.1,Refunded,2026-05-12
PAYEFAA56CC,ORD001943,Credit Card,2924.62,Success,2026-01-28
PAYDA0B7EE9,ORD002456,Wallet,18804.24,Success,2025-08-11
PAY38062EBF,ORD003053,Debit Card,34253.56,Refunded,2025-07-24
PAYBC342697,ORD004840,UPI,2565.95,Success,2026-03-18
PAY37D2C01C,ORD003832,Wallet,6654.6,Refunded,2026-05-15
PAY500B5B06,ORD002432,Wallet,46806.1,Refunded,2026-06-14
PAYA3E47320,ORD000176,Net Banking,7118.6,Refunded,2025-06-12
PAY3AF954A1,ORD002243,Wallet,31189.16,Success,2025-07-20
PAYFBE09FA5,ORD005925,Wallet,2057.82,Success,2026-02-04
PAYE500170B,ORD005303,Credit Card,5599.04,Failed,2026-07-28
PAYF0E424E9,ORD003972,Wallet,2728.55,Success,2025-07-18
PAYCD182EE4,ORD000097,UPI,5112.85,Success,2025-09-09
PAYD620C954,ORD001522,Debit Card,828.66,Success,2025-03-20
PAY2CF533E2,ORD000294,Wallet,1944.51,Failed,2025-04-11
PAY0D3FFCF5,ORD001363,Credit Card,21494.9,Failed,2026-03-31
PAY9B21D770,ORD003830,Wallet,8406.56,Success,2026-04-18
PAYE65747AE,ORD001557,COD,179503.65,Refunded,2026-02-12
PAY808EC3CC,ORD005996,Wallet,7311.55,Refunded,2026-06-12
PAYB82516CE,ORD000259,Net Banking,33510.58,Success,2026-02-27
PAYBBABC57D,ORD005707,Debit Card,17294.97,Refunded,2025-04-08
PAYABE3AB6F,ORD002903,Credit Card,4701.06,Success,2025-02-27
PAY21B2473D,ORD002664,Credit Card,3597.16,Success,2025-12-27
PAY3C9BDDFF,ORD000569,COD,2967.2,Refunded,2025-04-13
PAY4F92D971,ORD004967,Credit Card,2167.2,Success,2026-03-20
PAY498C1680,ORD000783,Net Banking,67021.16,Refunded,2025-08-26
PAY66D14380,ORD003750,COD,156.01,Success,2025-04-25
PAY6E09588B,ORD003710,COD,6463.3,Failed,2026-06-12
PAY2654C798,ORD000106,Debit Card,12515.07,Success,2025-06-29
PAYC87FBDD3,ORD004483,Net Banking,14059.47,Success,2025-06-21
PAY97E30D15,ORD002559,COD,28677.2,Success,2026-04-14
PAY1CCEF611,ORD004897,Credit Card,1969.23,Failed,2026-05-10
PAY12939CE4,ORD001148,Net Banking,43015.8,Success,2025-07-12
PAY13976A71,ORD002319,COD,40685.29,Failed,2025-11-07
PAYCDB95414,ORD001518,Debit Card,328.16,Success,2026-04-03
PAYC1F6A093,ORD003590,Debit Card,4686.49,Success,2026-04-06
PAY05656E4B,ORD001031,COD,4931.77,Refunded,2025-03-28
PAYC69C782A,ORD005683,Net Banking,137630.8,Refunded,2025-03-07
PAYB23ED88E,ORD001945,Credit Card,4888.42,Failed,2025-08-14
PAY93AB3B44,ORD003991,Debit Card,770.64,Refunded,2026-07-28
PAY4B048975,ORD005791,Credit Card,55719.21,Failed,2025-04-13
PAYB394603C,ORD004541,Credit Card,2457.36,Success,2025-05-13
PAY35786BEA,ORD001786,Net Banking,2578.94,Success,2025-11-10
PAY996FF86B,ORD002996,UPI,1681.95,Success,2025-04-11
PAY9808D2DB,ORD004101,Net Banking,5778.2,Success,2026-02-05
PAYA7A7EFB9,ORD005577,Debit Card,0.0,Success,2025-06-23
PAYC1535428,ORD000762,Net Banking,1969.23,Success,2026-05-05
PAY85DA4A40,ORD003289,Credit Card,5112.85,Success,2026-05-21
PAYBED8B76C,ORD005832,UPI,19224.4,Success,2026-06-29
PAY05E42E08,ORD002983,Net Banking,3597.16,Success,2026-06-07
PAY85B37279,ORD000084,Debit Card,2346.0,Success,2025-11-22
PAY2718CCEF,ORD000663,Net Banking,191.03,Success,2026-05-03
PAYDE99FA15,ORD003044,COD,3686.04,Refunded,2025-09-23
PAYBC09EBEF,ORD002718,Net Banking,17086.2,Success,2025-06-24
PAY30EA2EC4,ORD000081,Debit Card,3466.92,Success,2025-04-06
